,count,mean,std,min,max,correlation_with_vacancy_unemployment_ratio
job_finding_probability,298.0,0.30733962941845394,0.06256044387917117,0.16168365941030582,0.4627910763719264,0.5595336190331746
separation_probability,298.0,0.020471701167163934,0.00348574549817871,0.014090844232508578,0.033390093721830175,-0.683734171932148
job_finding_hazard,298.0,0.3712071745916935,0.08914361318432258,0.17635975499616086,0.6213682031008179,0.5532373472114487
separation_hazard,298.0,0.020690466671781243,0.003560799634517109,0.014191062734158738,0.033960271042902244,-0.6830080762279087
