sample,observations,r_squared,coefficient_intercept,standard_error_intercept,coefficient_unemployment_gap,standard_error_unemployment_gap
1961-1986,100,0.38237851078820817,0.11166363309735822,0.11958581491747584,-0.5741530825118574,0.07371046031481511
1987-2007,84,0.06056738980858267,0.07175353383129103,0.0828019289507632,-0.23718808677433142,0.10315714943081583
2008-2019,48,0.007009671683265495,0.03342302264134749,0.26096605076094,-0.05928137945833554,0.10403106771102354
2020-2025,24,0.0013889743693913381,0.10028891357621182,0.40744630347654887,-0.03337493860369162,0.19079201622927514
