date,slope,standard_error,lower_95,upper_95,r_squared,observations
1971-12-31,-0.42777666752400045,0.08044124714877962,-0.5854415119356084,-0.2701118231123924,0.4266731307020375,40
1972-03-31,-0.44618062524874136,0.08246666070609104,-0.6078152802326798,-0.2845459702648029,0.4351359334676739,40
1972-06-30,-0.48016870730811867,0.08178135276988789,-0.6404601587370989,-0.3198772558791384,0.47566682741624444,40
1972-09-30,-0.5080668353513293,0.08204600083357834,-0.6688769969851429,-0.3472566737175158,0.5022699088893785,40
1972-12-31,-0.5309247856556694,0.08085032906256545,-0.6893914306182977,-0.37245814069304106,0.5315717537411125,40
1973-03-31,-0.5589002317955406,0.08357863420132487,-0.7227143548301374,-0.39508610876094385,0.540605371186514,40
1973-06-30,-0.573217575435542,0.10482056100677072,-0.7786658750088126,-0.36776927586227137,0.4403959341548179,40
1973-09-30,-0.6046469386528982,0.1309554703825292,-0.8613196606026554,-0.347974216703141,0.35939029445407245,40
1973-12-31,-0.643321279962229,0.16469302822503842,-0.9661196152833043,-0.32052294464115366,0.28649583873541395,40
1974-03-31,-0.6303013942092133,0.20137670642412822,-1.0249997388005045,-0.23560304961792194,0.2049653801077016,40
1974-06-30,-0.6006616684538093,0.2209354472515191,-1.0336951450667868,-0.16762819184083189,0.1628377444839637,40
1974-09-30,-0.5092347231806779,0.2333823107935918,-0.9666640523361179,-0.05180539402523793,0.11134022006741962,40
1974-12-31,-0.3595558598423387,0.2310548914228054,-0.8124234470310372,0.0933117273463599,0.05990856376800746,40
1975-03-31,-0.28944865979564477,0.19536678393607598,-0.6723675563103537,0.09347023671906413,0.05460962701254091,40
1975-06-30,-0.3797653650745262,0.16763126945963233,-0.7083226532154056,-0.05120807693364682,0.11899179043532326,40
1975-09-30,-0.4661041522676342,0.15529097830525734,-0.7704744697459386,-0.1617338347893298,0.1916430491948038,40
1975-12-31,-0.5539660216434122,0.14932222370266715,-0.8466375801006398,-0.26129446318618466,0.26588680742882376,40
1976-03-31,-0.6133041171162994,0.1483190160206937,-0.904009388516859,-0.32259884571573977,0.31032609003804,40
1976-06-30,-0.6406947028408584,0.14600067700707067,-0.9268560297747169,-0.35453337590699985,0.3363276923577807,40
1976-09-30,-0.6478139248982578,0.1430863582404519,-0.9282631870495436,-0.3673646627469721,0.3504012680474339,40
1976-12-31,-0.6465398906993246,0.14081802616815314,-0.9225432219889047,-0.37053655940974445,0.3568062033707612,40
1977-03-31,-0.6408357627591112,0.13964834348891475,-0.9145465159973842,-0.3671250095208383,0.35656725923044774,40
1977-06-30,-0.6393771348997566,0.1405001317472746,-0.9147573931244148,-0.36399687667509834,0.3527406314395004,40
1977-09-30,-0.6530341350161959,0.14036912471010304,-0.9281576194479979,-0.37791065058439394,0.3628816989117998,40
1977-12-31,-0.6672210491568921,0.14091172009270306,-0.9434080205385901,-0.39103407777519406,0.3710743608306998,40
1978-03-31,-0.6765758650973481,0.14319872929653066,-0.9572453745185482,-0.39590635567614807,0.3700589906939926,40
1978-06-30,-0.6876513604796068,0.14660266736053043,-0.9749925885062465,-0.4003101324529672,0.3666828086855265,40
1978-09-30,-0.703453176205316,0.15200295546386042,-1.0013789689144823,-0.4055273834961496,0.3604564769849694,40
1978-12-31,-0.7421484351086379,0.15904851127013694,-1.0538835171981065,-0.4304133530191695,0.3642636221951623,40
1979-03-31,-0.8001530033745426,0.1667442396238296,-1.1269717130372485,-0.47333429371183666,0.3773285988255728,40
1979-06-30,-0.8636027208622034,0.1755355496122409,-1.2076523981021956,-0.5195530436222111,0.38911266238089315,40
1979-09-30,-0.9478767060026403,0.1835724985651749,-1.3076788031903832,-0.5880746088148975,0.4123263474031684,40
1979-12-31,-1.0543379935602601,0.1919276235877411,-1.4305161357922327,-0.6781598513282876,0.44263220912519097,40
1980-03-31,-1.1207837388423856,0.20467620090059604,-1.5219490926075538,-0.7196183850772173,0.4410559520729326,40
