date,actual_inflation,model_forecast,naive_forecast,model_error,naive_error
1981-06-30,9.874953898447243,11.061971996042091,11.266337396333128,-1.1870180975948479,-1.3913834978858848
1981-09-30,10.852520378653688,9.600983293975933,9.874953898447243,1.2515370846777554,0.9775664802064448
1981-12-31,9.587674308185493,10.639334042392944,10.852520378653688,-1.0516597342074512,-1.2648460704681952
1982-03-31,7.585130981360822,9.086319902021174,9.587674308185493,-1.5011889206603515,-2.0025433268246706
1982-06-30,6.905340793829332,6.809281724941147,7.585130981360822,0.09605906888818527,-0.6797901875314905
1982-09-30,5.821197876248388,5.953295924664941,6.905340793829332,-0.1320980484165526,-1.0841429175809436
1982-12-31,4.445149725547762,4.70888307436817,5.821197876248388,-0.26373334882040833,-1.3760481507006261
1983-03-31,3.5942002398296147,3.0599470328354132,4.445149725547762,0.5342532069942014,-0.8509494857181474
1983-06-30,3.305103755702003,2.359741188609422,3.5942002398296147,0.9453625670925812,-0.2890964841276116
1983-09-30,2.5263452571538503,2.2371008997480955,3.305103755702003,0.2892443574057548,-0.7787584985481528
1983-12-31,3.234220753930302,1.682715576265708,2.5263452571538503,1.5515051776645938,0.7078754967764516
1984-03-31,4.625645280806008,2.692541700171428,3.234220753930302,1.9331035806345804,1.3914245268757064
1984-06-30,4.405096341402204,4.294642497839517,4.625645280806008,0.11045384356268695,-0.2205489394038045
1984-09-30,4.295730018689888,4.170649600740093,4.405096341402204,0.1250804179497944,-0.10936632271231606
1984-12-31,4.154522730475711,4.0625605680920085,4.295730018689888,0.09196216238370258,-0.1412072882141766
1985-03-31,3.6407600754840836,3.9510211584857142,4.154522730475711,-0.3102610830016306,-0.5137626549916274
1985-06-30,3.607032131397444,3.449004954906313,3.6407600754840836,0.15802717649113074,-0.033727944086639816
1985-09-30,3.352692375295533,3.4017661472580896,3.607032131397444,-0.04907377196255647,-0.25433975610191073
1985-12-31,3.513417882290478,3.168263658323778,3.352692375295533,0.3451542239666998,0.16072550699494492
1986-03-31,3.108520937391179,3.3670400615949316,3.513417882290478,-0.2585191242037528,-0.40489694489929917
1986-06-30,1.6784437949353432,2.9594738089678096,3.108520937391179,-1.2810300140324664,-1.4300771424558356
1986-09-30,1.6681579718071122,1.4851970704311626,1.6784437949353432,0.18296090137594967,-0.010285823128231009
